data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage, cbmaker ,combos,sfiha, kit1 , kit2 ,snack,pastas,dishes,promotion,savory, salads ,range
03/05/2018,SAO PAULO,,0,0,0,0,0,43052,0,29,17.9,22.4,73.5,7.9,TUR,1,2,2162,182,1517, 21 ,1799,26515, 19 , 7 ,1087,428,408,0,8876, 31 ,Range-14
03/06/2018,SAO PAULO,,0,0,0,0,0,49231,0.8,22.5,13.7,16.28,88.75,0,SUN,2,3,5137,390,2157, 61 ,6214,21608, 36 , 9 ,1365,1064,781,0,10376, 33 ,Range-37
03/07/2018,SAO PAULO,,0,0,0,0,0,34582,0,24.7,16.2,18.72,77.75,5.4,TUE,1,1,2296,317,1138, 14 ,2450,18163, 13 , 4 ,600,356,311,0,8892, 28 ,Range-15
03/08/2018,SAO PAULO,,0,0,0,0,0,71212,0,16.2,13.6,15.16,92.5,0,FRI,3,2,5512,475,2818, 30 ,7263,38363, 39 , 9 ,1487,629,569,0,13979, 39 ,Range-40
03/09/2018,SAO PAULO,,0,0,0,0,0,31048,0,26,15.1,18.86,80.5,5.6,MON,1,2,2069,101,1244, 2 ,2144,17219, 21 , 3 ,544,262,310,0,7093, 36 ,Range-13
03/10/2018,SAO PAULO,,0,0,0,0,0,36262,0,31.9,19.9,23.92,82,0,WED,1,2,2062,117,1478, -   ,2068,21227, 24 , 1 ,778,309,270,0,7896, 32 ,Range-13
03/11/2018,SAO PAULO,,0,0,0,0,0,59121,0,31.4,19.1,22.62,69.5,9.9,SAT,3,2,4216,346,2341, 3 ,6156,31234, 32 , 9 ,1622,520,455,14,12152, 21 ,Range-30
03/12/2018,SAO PAULO,,0,0,0,0,0,39470,1,22.7,16.5,18.88,80,0.1,MON,1,3,2257,124,1543, -   ,2431,21534, 13 , 8 ,757,365,288,0,10132, 18 ,Range-14
04/01/2018,SAO PAULO,,0,0,0,0,0,44148,12.1,28.5,19.7,22.8,52.25,11.2,TUR,1,3,1616,178,1265, -   ,506,29874, 17 , 3 ,929,463,198,0,9053, 46 ,Range-09
04/02/2018,SAO PAULO,,0,0,0,0,0,53530,0,25.7,16.7,20.84,71.75,5.4,SUN,2,1,3569,387,2132, -   ,2903,28283, 48 , 4 ,1605,900,811,0,12839, 49 ,Range-25
04/03/2018,SAO PAULO,,0,0,0,0,0,53617,0,31.3,21,24.82,83.75,5.6,SUN,2,2,4300,374,2129, -   ,2643,27007, 26 , 5 ,1455,849,757,772,13253, 47 ,Range-30
04/04/2018,SAO PAULO,,0,0,0,0,0,39304,0.2,26.8,19.3,21.62,79,1,WED,1,2,1607,196,1349, 26 ,1401,24537, 13 , 5 ,805,422,401,3,8503, 36 ,Range-09
04/05/2018,SAO PAULO,,0,0,0,0,0,61988,0,29.5,17.7,22.46,67.75,9.2,FRI,3,2,3614,511,2537, 59 ,5123,33056, 48 , 8 ,2128,501,707,0,13656, 40 ,Range-25
04/06/2018,SAO PAULO,,0,0,0,0,0,27144,0,17.4,13.5,15.24,81.75,0,MON,1,3,2003,175,1187, 13 ,2054,13347, 12 , 3 ,596,425,313,0,6993, 23 ,Range-12
04/07/2018,SAO PAULO,,0,0,0,0,0,34434,0,23.7,15.5,17.94,82.25,5.7,WED,1,1,2155,375,1291, 37 ,2393,18312, 18 , 5 ,608,368,362,0,8484, 26 ,Range-13
04/08/2018,SAO PAULO,,0,0,0,0,0,65852,17.6,20.4,14.2,17.22,75,1.9,SAT,3,2,4828,434,2316, 40 ,7096,35603, 51 , 4 ,1311,519,576,0,13041, 33 ,Range-34
04/09/2018,SAO PAULO,,0,0,0,0,0,36094,2,17.2,12,13.72,81.5,2.7,TUE,1,2,2384,111,1310, -   ,2376,19593, 24 , 4 ,606,357,367,0,8918, 44 ,Range-15
04/10/2018,SAO PAULO,,0,0,0,0,0,35588,0.6,23,18.2,19.8,86,0,TUR,1,2,2366,156,1556, 1 ,2756,18456, 43 , 5 ,874,330,326,0,8688, 31 ,Range-15
04/11/2018,SAO PAULO,,0,0,0,0,0,50743,5,22.8,17.2,18.8,79,0.5,SUN,2,2,4746,230,2159, 1 ,4936,25863, 42 , 6 ,1624,755,541,0,9811, 29 ,Range-34
04/12/2018,SAO PAULO,,0,0,0,0,0,40673,0,30,16.9,23.34,63.5,6.6,TUE,1,3,2731,108,1543, 1 ,2418,21939, 17 , 3 ,741,320,301,0,10529, 22 ,Range-18
05/01/2018,SAO PAULO,,0,0,0,0,0,51493,0,29.4,17.5,22.84,72.25,10.4,FRI,3,3,2725,370,1710, -   ,1793,31793, 28 , 2 ,1637,407,203,0,10791, 34 ,Range-18
05/02/2018,SAO PAULO,,0,0,0,0,0,38919,0,25.4,18.2,21.08,74.75,5.1,MON,1,1,1693,174,1310, -   ,1099,23955, 11 , 3 ,798,445,384,0,9005, 42 ,Range-10
05/03/2018,SAO PAULO,,0,0,0,0,0,36101,6.4,31.2,20.4,24.44,77.5,8.5,MON,1,2,1882,139,1231, 1 ,934,21907, 7 , -   ,643,409,356,402,8158, 32 ,Range-11
05/04/2018,SAO PAULO,,0,0,0,0,0,46154,0,27.8,18.2,22.04,74.25,6.3,TUR,1,2,2022,250,1594, 19 ,1656,29188, 24 , 8 ,960,452,397,5,9531, 48 ,Range-12
05/05/2018,SAO PAULO,,0,0,0,0,0,68942,0,29.6,18.1,22.54,67.5,7.4,SAT,3,2,4477,616,2983, 79 ,6398,34727, 48 , 16 ,2377,729,862,0,15601, 29 ,Range-32
05/06/2018,SAO PAULO,,0,0,0,0,0,29710,0.3,18.6,14.1,16.02,86.25,0,TUE,1,3,2240,186,1193, 25 ,2220,14640, 11 , -   ,629,429,340,0,7762, 35 ,Range-14
05/07/2018,SAO PAULO,,0,0,0,0,0,36988,0,28.5,14.7,20.16,65.25,6.2,TUR,1,1,2488,501,1513, 16 ,3329,16711, 23 , 3 ,827,398,361,0,10781, 37 ,Range-16
05/08/2018,SAO PAULO,,0,0,0,0,0,52242,0,19.8,14.5,16.08,78.5,0,SUN,2,2,4590,333,2044, 38 ,5406,26873, 26 , 2 ,1259,698,557,0,10372, 44 ,Range-33
05/09/2018,SAO PAULO,,0,0,0,0,0,38601,24.2,16,11.1,13.06,78.75,7.9,WED,1,2,2303,121,1315, 1 ,2657,22529, 27 , 9 ,518,329,310,0,8465, 17 ,Range-15
05/10/2018,SAO PAULO,,0,0,0,0,0,65033,0,18.6,13.8,15.68,89,0,FRI,3,2,4291,338,2606, 3 ,6256,36868, 62 , 6 ,1686,448,464,0,11988, 17 ,Range-30
05/11/2018,SAO PAULO,,0,0,0,0,0,33733,0.4,21.2,15.1,17.82,77.5,0.4,MON,1,2,2432,109,1352, 1 ,2058,18779, 13 , 4 ,635,326,240,4,7762, 18 ,Range-16
05/12/2018,SAO PAULO,,0,0,0,0,0,45192,0,29.8,20.2,23.96,52.5,6.9,WED,1,3,3008,150,1777, 1 ,2634,25075, 21 , 3 ,886,325,328,0,10967, 17 ,Range-20
06/01/2018,SAO PAULO,,0,0,0,0,0,62420,0,27.9,19.9,22.42,76.75,1.9,SAT,3,3,3051,447,1969, -   ,2149,38770, 14 , 2 ,1757,540,251,0,13426, 44 ,Range-21
06/02/2018,SAO PAULO,,0,0,0,0,0,41083,0,24.4,17.7,20.82,78,0.5,TUE,1,1,1847,161,1356, -   ,1133,25637, 26 , 2 ,789,425,320,0,9360, 27 ,Range-11
06/03/2018,SAO PAULO,,0,0,0,0,0,44295,22.1,29.8,20.7,24.34,81,6.3,TUE,1,2,2392,175,1444, -   ,1065,27564, 11 , 7 ,779,443,381,439,9559, 36 ,Range-15
06/04/2018,SAO PAULO,,0,0,0,0,0,61469,0,27.2,19.4,22.3,72,6.6,FRI,3,2,3436,503,2621, 48 ,4945,32648, 46 , 8 ,2089,584,685,5,13819, 32 ,Range-24
06/05/2018,SAO PAULO,,0,0,0,0,0,56000,0,25.8,18.1,21.06,73.5,7.7,SUN,2,2,4287,476,2472, 62 ,4429,28851, 31 , 3 ,1955,916,774,0,11706, 38 ,Range-30
06/06/2018,SAO PAULO,,0,0,0,0,0,36211,0,23.2,14,17.52,83,1.9,WED,1,3,2557,236,1400, 28 ,2573,18771, 31 , 2 ,715,418,373,0,9085, 22 ,Range-17
06/07/2018,SAO PAULO,,0,0,0,0,0,72289,0,26.6,15.3,20,57,5.5,FRI,3,1,5470,701,2552, 52 ,7503,37739, 21 , 12 ,1431,470,561,0,15736, 41 ,Range-39
06/08/2018,SAO PAULO,,0,0,0,0,0,36652,5.1,15.1,13.2,14.02,89.75,0,MON,1,2,2311,147,1339, 39 ,2371,20874, 13 , 4 ,613,366,279,0,8275, 21 ,Range-15
06/09/2018,SAO PAULO,,0,0,0,0,0,58413,0,22.1,9.8,14.2,76.25,8,TUR,1,2,4150,313,2222, 9 ,5844,29761, 56 , 4 ,991,353,451,0,14230, 29 ,Range-29
06/10/2018,SAO PAULO,,0,0,0,0,0,71871,0,17.8,13.8,16.06,82,0,SAT,3,2,5257,343,2670, 2 ,7202,39531, 59 , 8 ,1949,596,561,0,13672, 21 ,Range-38
06/11/2018,SAO PAULO,,0,0,0,0,0,32791,0,23.2,15.9,18.84,85,0.6,TUE,1,2,2042,111,1293, 3 ,1920,18056, 20 , 4 ,667,282,253,0,8126, 14 ,Range-13
